id,customer_id,product_id,quantity,order_date,status,total
46,124,9,1,2025-07-17,pending,894.99
47,74,9,7,2025-07-18,pending,335.93
48,169,31,3,2025-07-19,pending,2843.97
49,34,16,1,2025-07-20,processing,681.99
50,92,49,5,2025-07-21,cancelled,1189.95
51,177,43,8,2025-07-22,completed,6087.92
52,6,23,8,2025-07-23,cancelled,6327.92
53,10,21,7,2025-07-24,cancelled,2043.93
54,66,47,5,2025-07-25,cancelled,349.95
55,2,12,5,2025-07-26,completed,1769.95
56,1,34,6,2025-07-27,cancelled,5429.94
57,161,24,4,2025-07-28,completed,191.96
58,141,3,2,2025-07-29,cancelled,279.98
59,149,30,2,2025-07-30,processing,265.98
60,53,23,4,2025-07-31,pending,1567.96
61,132,33,4,2025-08-01,cancelled,3363.96
62,90,19,8,2025-08-02,completed,2343.92
63,36,11,3,2025-08-03,pending,2816.97
64,66,44,1,2025-08-04,completed,866.99
65,190,2,4,2025-08-05,cancelled,3691.96
66,13,17,5,2025-08-06,completed,2509.95
67,81,13,8,2025-08-07,processing,3111.92
68,85,39,6,2025-08-08,processing,2579.94
69,61,29,7,2025-08-09,completed,4059.93
70,175,28,1,2025-08-10,processing,903.99
71,94,15,4,2025-08-11,processing,319.96
72,9,15,8,2025-08-12,pending,6831.92
73,53,23,2,2025-08-13,cancelled,1705.98
74,82,44,1,2025-08-14,cancelled,860.99
75,132,6,6,2025-08-15,pending,4949.94
76,112,27,1,2025-08-16,cancelled,660.99
77,99,44,7,2025-08-17,cancelled,6698.93
78,160,36,7,2025-08-18,pending,2260.93
79,189,21,8,2025-08-19,pending,735.92
80,2,14,8,2025-08-20,pending,1543.92
81,8,21,6,2025-08-21,cancelled,4853.94
82,171,29,3,2025-08-22,processing,2153.97
83,53,18,4,2025-08-23,completed,679.96
84,16,16,8,2025-08-24,completed,4591.92
85,186,34,1,2025-08-25,pending,234.99
86,196,4,4,2025-08-26,pending,3211.96
87,104,4,4,2025-08-27,processing,287.96
88,168,46,6,2025-08-28,pending,1397.94
89,178,48,1,2025-08-29,pending,75.99
90,190,23,2,2025-08-30,completed,323.98
91,90,48,5,2025-08-31,cancelled,4834.95
92,179,45,3,2025-09-01,cancelled,1187.97
93,171,2,1,2025-09-02,pending,984.99
94,86,43,4,2025-09-03,processing,1227.96
95,22,15,2,2025-09-04,processing,1307.98
96,171,11,4,2025-09-05,completed,3735.96
97,50,6,5,2025-09-06,processing,2414.95
98,33,43,2,2025-09-07,pending,1645.98
99,24,4,2,2025-09-08,processing,667.98
100,115,1,8,2025-09-09,completed,1055.92
101,82,7,7,2025-09-10,cancelled,2491.93
102,168,23,6,2025-09-11,pending,1751.94
103,116,49,1,2025-09-12,cancelled,974.99
104,65,35,1,2025-09-13,processing,264.99
105,4,32,2,2025-09-14,cancelled,647.98
106,144,9,3,2025-09-15,pending,137.97
107,146,2,6,2025-09-16,cancelled,5105.94
108,6,13,4,2025-09-17,completed,275.96
109,138,48,2,2025-09-18,cancelled,557.98
110,23,6,8,2025-09-19,pending,6431.92
111,30,32,1,2025-09-20,pending,105.99
112,145,9,5,2025-09-21,completed,2344.95
113,117,17,1,2025-09-22,completed,34.99
114,183,3,6,2025-09-23,pending,3989.94
115,135,33,2,2025-09-24,pending,507.98
116,31,13,3,2025-09-25,cancelled,1976.97
117,79,4,5,2025-09-26,cancelled,4539.95
118,35,37,2,2025-09-27,completed,751.98
119,91,20,3,2025-09-28,cancelled,2111.97
120,175,45,3,2025-09-29,pending,1247.97
121,26,10,6,2025-09-30,completed,2117.94
122,168,14,8,2025-10-01,pending,5735.92
123,183,33,3,2025-10-02,processing,932.97
124,18,11,2,2025-10-03,pending,767.98
125,180,17,2,2025-10-04,pending,841.98
126,93,12,1,2025-10-05,cancelled,297.99
127,99,43,3,2025-10-06,cancelled,194.97
128,80,3,2,2025-10-07,cancelled,175.98
129,180,4,2,2025-10-08,processing,655.98
130,105,43,3,2025-10-09,completed,635.97
131,92,40,3,2025-10-10,completed,2045.97
132,27,26,8,2025-10-11,completed,6615.92
133,72,49,2,2025-10-12,processing,227.98
134,31,21,1,2025-10-13,cancelled,605.99
135,137,16,3,2025-10-14,processing,1877.97
136,18,44,7,2025-10-15,pending,3583.93
137,183,27,2,2025-10-16,cancelled,1901.98
138,50,38,3,2025-10-17,processing,2951.97
139,105,33,5,2025-10-18,processing,4404.95
140,147,8,6,2025-10-19,processing,1769.94
141,193,29,2,2025-10-20,cancelled,359.98
142,178,49,1,2025-10-21,processing,664.99
143,48,40,7,2025-10-22,pending,3317.93
144,156,25,4,2025-10-23,pending,691.96
145,48,31,6,2025-10-24,cancelled,2399.94
146,116,27,3,2025-10-25,completed,365.97
147,23,5,8,2025-10-26,processing,7159.92
148,174,32,8,2025-10-27,completed,6807.92
149,49,16,6,2025-10-28,cancelled,4643.94
150,37,13,8,2025-10-29,pending,4431.92
151,7,31,4,2025-10-30,cancelled,2395.96
152,43,10,2,2025-10-31,cancelled,1973.98
153,157,31,2,2025-11-01,processing,1839.98
154,191,28,2,2025-11-02,completed,257.98
155,147,28,3,2025-11-03,completed,2681.97
156,37,33,6,2025-11-04,processing,611.94
157,25,45,2,2025-11-05,pending,601.98
158,28,26,6,2025-11-06,processing,5171.94
159,123,21,1,2025-11-07,completed,329.99
160,116,17,8,2025-11-08,cancelled,1847.92
161,187,38,1,2025-11-09,pending,435.99
162,172,5,7,2025-11-10,processing,2729.93
163,111,1,2,2025-11-11,completed,1771.98
164,58,10,6,2025-11-12,processing,1199.94
165,53,48,4,2025-11-13,cancelled,2123.96
166,195,33,4,2025-11-14,cancelled,2555.96
167,12,40,8,2025-11-15,pending,6631.92
168,83,8,6,2025-11-16,cancelled,203.94
169,193,17,4,2025-11-17,cancelled,243.96
170,108,40,1,2025-11-18,completed,412.99
171,24,38,1,2025-11-19,completed,903.99
172,170,11,8,2025-11-20,processing,7855.92
173,179,49,4,2025-11-21,completed,1523.96
174,51,37,1,2025-11-22,cancelled,892.99
175,41,10,7,2025-11-23,processing,1581.93
176,181,44,8,2025-11-24,pending,6351.92
177,126,16,3,2025-11-25,completed,1652.97
178,41,9,6,2025-11-26,pending,1013.94
179,150,13,2,2025-11-27,cancelled,425.98
180,91,45,7,2025-11-28,pending,1490.93
181,98,4,5,2025-11-29,cancelled,4534.95
182,88,45,1,2025-11-30,completed,284.99
183,105,27,7,2025-12-01,pending,5158.93
184,47,13,7,2025-12-02,processing,5487.93
185,121,34,3,2025-12-03,pending,2033.97
186,90,19,6,2025-12-04,pending,1355.94
187,179,37,6,2025-12-05,processing,1463.94
188,87,31,1,2025-12-06,completed,717.99
189,34,20,8,2025-12-07,processing,3063.92
190,17,46,8,2025-12-08,processing,863.92
191,149,39,6,2025-12-09,cancelled,2819.94
192,147,47,6,2025-12-10,processing,2555.94
193,170,17,6,2025-12-11,pending,4067.94
194,42,15,3,2025-12-12,completed,2183.97
195,98,21,3,2025-12-13,processing,593.97
196,132,29,7,2025-12-14,cancelled,4325.93
197,77,36,4,2025-12-15,completed,1223.96
198,88,20,7,2025-12-16,completed,6012.93
199,187,16,7,2025-12-17,cancelled,3814.93
200,54,20,6,2025-12-18,cancelled,2495.94
201,141,45,7,2025-12-19,pending,3954.93
202,6,29,8,2025-12-20,processing,583.92
203,194,20,7,2025-12-21,pending,4472.93
204,73,32,6,2025-12-22,processing,4877.94
205,45,3,3,2025-12-23,completed,2135.97
206,40,2,6,2025-12-24,cancelled,5273.94
207,107,40,5,2025-12-25,processing,1174.95
208,89,26,3,2025-12-26,processing,2222.97
209,187,29,7,2025-12-27,pending,5438.93
210,150,44,2,2025-12-28,completed,1783.98
211,59,7,5,2025-12-29,cancelled,3769.95
212,118,33,2,2025-12-30,processing,515.98
213,53,13,2,2025-12-31,completed,1141.98
214,62,25,4,2026-01-01,cancelled,2867.96
215,135,13,8,2026-01-02,cancelled,3991.92
216,100,19,4,2026-01-03,cancelled,2919.96
217,181,36,5,2026-01-04,cancelled,1644.95
218,159,9,8,2026-01-05,completed,543.92
219,179,4,7,2026-01-06,cancelled,6313.93
220,180,36,3,2026-01-07,pending,2993.97
221,39,14,4,2026-01-08,cancelled,2035.96
222,195,22,3,2026-01-09,cancelled,113.97
223,33,43,7,2026-01-10,processing,909.93
224,188,49,6,2026-01-11,pending,275.94
225,126,14,3,2026-01-12,cancelled,2726.97
226,26,8,7,2026-01-13,cancelled,979.93
227,98,19,3,2026-01-14,cancelled,1088.97
228,188,19,4,2026-01-15,completed,1227.96
229,135,26,6,2026-01-16,pending,5519.94
230,160,34,4,2026-01-17,completed,3447.96
231,22,20,4,2026-01-18,completed,311.96
232,145,10,4,2026-01-19,completed,2731.96
233,187,47,2,2026-01-20,processing,1313.98
234,53,49,7,2026-01-21,cancelled,2351.93
235,27,43,6,2026-01-22,cancelled,287.94
236,80,2,7,2026-01-23,processing,909.93
237,126,36,3,2026-01-24,completed,1001.97
238,64,27,3,2026-01-25,processing,2903.97
239,132,4,3,2026-01-26,completed,221.97
240,86,32,3,2026-01-27,pending,1100.97
241,192,32,2,2026-01-28,completed,687.98
242,150,31,1,2026-01-29,completed,722.99
243,99,47,2,2026-01-30,cancelled,1225.98
244,101,2,3,2026-01-31,cancelled,1481.97
245,168,15,3,2026-02-01,completed,452.97
246,143,8,8,2026-02-02,completed,7911.92
247,152,5,3,2026-02-03,completed,866.97
248,143,12,4,2026-02-04,pending,155.96
249,145,21,2,2026-02-05,pending,935.98
250,30,25,4,2026-02-06,cancelled,1443.96
251,156,20,2,2026-02-07,cancelled,1673.98
252,102,19,8,2026-02-08,completed,3551.92
253,60,43,5,2026-02-09,processing,2709.95
254,105,35,3,2026-02-10,completed,878.97
255,158,49,6,2026-02-11,processing,5087.94
256,39,34,1,2026-02-12,completed,453.99
257,123,31,8,2026-02-13,processing,3087.92
258,127,28,5,2026-02-14,cancelled,3549.95
259,121,37,5,2026-02-15,completed,1189.95
260,24,24,4,2026-02-16,completed,3007.96
261,19,42,2,2026-02-17,cancelled,1329.98
262,177,4,8,2026-02-18,processing,4895.92
263,173,7,6,2026-02-19,completed,4613.94
264,70,35,1,2026-02-20,cancelled,456.99
265,175,36,1,2026-02-21,pending,765.99
266,123,46,8,2026-02-22,pending,7959.92
267,77,18,7,2026-02-23,cancelled,2421.93
268,5,37,5,2026-02-24,cancelled,634.95
269,110,42,1,2026-02-25,completed,875.99
270,163,16,1,2026-02-26,completed,474.99
271,172,19,7,2026-02-27,processing,1168.93
272,136,18,5,2026-02-28,cancelled,294.95
273,143,5,3,2026-03-01,completed,1757.97
274,82,3,2,2026-03-02,pending,583.98
275,24,36,2,2026-03-03,cancelled,1365.98
276,194,17,1,2026-03-04,cancelled,104.99
277,85,48,7,2026-03-05,pending,6586.93
278,124,41,5,2026-03-06,processing,2694.95
279,99,35,4,2026-03-07,cancelled,3019.96
280,42,17,1,2026-03-08,completed,527.99
281,42,11,8,2026-03-09,processing,1295.92
282,85,49,1,2026-03-10,processing,120.99
283,74,48,1,2026-03-11,completed,95.99
284,73,7,6,2026-03-12,pending,4061.94
285,139,44,7,2026-03-13,completed,1196.93
286,111,46,2,2026-03-14,pending,1505.98
287,131,13,7,2026-03-15,completed,1161.93
288,160,16,8,2026-03-16,cancelled,7919.92
289,113,14,4,2026-03-17,cancelled,143.96
290,10,42,2,2026-03-18,completed,1189.98
291,19,50,6,2026-03-19,cancelled,3179.94
292,157,42,5,2026-03-20,completed,2099.95
293,51,33,6,2026-03-21,pending,1001.94
294,166,24,5,2026-03-22,cancelled,2434.95
295,37,10,1,2026-03-23,processing,128.99
296,73,35,4,2026-03-24,processing,819.96
297,10,22,2,2026-03-25,pending,915.98
298,138,10,6,2026-03-26,cancelled,1049.94
299,90,21,3,2026-03-27,processing,668.97
300,109,26,1,2026-03-28,cancelled,46.99
301,169,4,2,2026-03-29,completed,1687.98
302,196,30,8,2026-03-30,cancelled,7247.92
303,113,21,5,2026-03-31,processing,2579.95
304,150,20,2,2026-04-01,cancelled,1787.98
305,39,37,2,2026-04-02,pending,1823.98
306,80,30,7,2026-04-03,completed,2204.93
307,115,13,4,2026-04-04,pending,1551.96
308,115,4,1,2026-04-05,cancelled,685.99
309,155,20,5,2026-04-06,completed,2394.95
310,41,6,3,2026-04-07,processing,998.97
311,13,35,8,2026-04-08,completed,407.92
312,51,13,6,2026-04-09,completed,221.94
313,106,21,7,2026-04-10,pending,2981.93
314,96,19,3,2026-04-11,cancelled,2699.97
315,17,26,5,2026-04-12,completed,5004.95
316,101,38,6,2026-04-13,processing,2825.94
317,134,40,8,2026-04-14,cancelled,2103.92
318,172,37,5,2026-04-15,processing,2999.95
319,184,26,8,2026-04-16,pending,3495.92
320,156,10,7,2026-04-17,completed,5165.93
321,171,23,2,2026-04-18,processing,765.98
322,45,46,3,2026-04-19,pending,2138.97
323,90,49,2,2026-04-20,pending,1533.98
324,166,35,7,2026-04-21,cancelled,6677.93
325,181,3,2,2026-04-22,completed,1477.98
326,44,21,5,2026-04-23,pending,4909.95
327,174,3,6,2026-04-24,cancelled,4541.94
328,181,26,8,2026-04-25,cancelled,1623.92
329,32,25,8,2026-04-26,processing,6631.92
330,83,47,1,2026-04-27,processing,975.99
331,20,26,8,2026-04-28,processing,2823.92
332,56,7,1,2026-04-29,cancelled,779.99
333,163,1,7,2026-04-30,completed,4647.93
334,53,15,3,2026-05-01,completed,2972.97
335,87,27,6,2026-05-02,pending,3779.94
336,15,7,4,2026-05-03,processing,339.96
337,71,40,3,2026-05-04,processing,2357.97
338,16,47,4,2026-05-05,completed,3499.96
339,193,41,6,2026-05-06,processing,1271.94
340,118,47,1,2026-05-07,cancelled,542.99
341,145,27,7,2026-05-08,pending,3338.93
342,186,12,8,2026-05-09,cancelled,6207.92
343,22,17,5,2026-05-10,completed,259.95
344,32,40,2,2026-05-11,processing,1435.98
345,107,1,8,2026-05-12,cancelled,7551.92
346,137,42,2,2026-05-13,completed,1051.98
347,8,27,3,2026-05-14,completed,1985.97
348,85,47,4,2026-05-15,pending,3179.96
349,77,22,2,2026-05-16,pending,585.98
350,46,22,3,2026-05-17,pending,611.97
351,105,5,5,2026-05-18,pending,2884.95
352,96,32,8,2026-05-19,completed,5687.92
353,88,9,1,2026-05-20,completed,753.99
354,50,7,8,2026-05-21,completed,2167.92
355,126,30,5,2026-05-22,pending,2464.95
356,153,50,4,2026-05-23,pending,3807.96
357,37,7,2,2026-05-24,pending,1305.98
358,64,29,1,2026-05-25,pending,140.99
359,194,7,7,2026-05-26,completed,370.93
360,35,5,7,2026-05-27,pending,2099.93
361,33,37,1,2026-05-28,completed,698.99
362,61,37,8,2026-05-29,completed,4295.92
363,129,4,8,2026-05-30,completed,2279.92
364,128,50,6,2026-05-31,cancelled,461.94
365,28,6,2,2025-06-01,cancelled,957.98
366,31,32,5,2025-06-02,pending,1224.95
367,166,13,5,2025-06-03,processing,3564.95
368,99,43,7,2025-06-04,completed,1924.93
369,27,27,4,2025-06-05,pending,3635.96
370,112,27,1,2025-06-06,processing,323.99
371,3,40,4,2025-06-07,processing,3423.96
372,186,41,6,2025-06-08,cancelled,3125.94
373,163,44,4,2025-06-09,completed,3943.96
374,32,49,5,2025-06-10,pending,1679.95
375,66,3,5,2025-06-11,cancelled,4979.95
376,158,43,3,2025-06-12,cancelled,2111.97
377,35,22,2,2025-06-13,pending,1057.98
378,72,23,2,2025-06-14,completed,1091.98
379,183,18,4,2025-06-15,cancelled,2371.96
380,147,41,6,2025-06-16,processing,4037.94
381,126,41,7,2025-06-17,processing,6383.93
382,190,26,6,2025-06-18,cancelled,5411.94
383,10,18,2,2025-06-19,processing,683.98
384,81,10,3,2025-06-20,processing,2726.97
385,142,5,6,2025-06-21,pending,509.94
386,110,13,4,2025-06-22,cancelled,1743.96
387,67,31,4,2025-06-23,completed,1523.96
388,150,16,8,2025-06-24,cancelled,6687.92
389,184,46,7,2025-06-25,pending,2099.93
390,195,3,4,2025-06-26,completed,3139.96
391,87,37,3,2025-06-27,processing,1955.97
392,149,37,2,2025-06-28,cancelled,751.98
393,2,15,6,2025-06-29,processing,2339.94
394,91,4,3,2025-06-30,completed,485.97
395,40,43,8,2025-07-01,processing,2247.92
396,172,35,4,2025-07-02,cancelled,3499.96
397,192,1,8,2025-07-03,processing,5631.92
398,77,40,8,2025-07-04,pending,3199.92
399,78,23,8,2025-07-05,cancelled,3079.92
400,171,4,6,2025-07-06,pending,1289.94
401,190,8,5,2025-07-07,completed,3159.95
402,172,17,2,2025-07-08,pending,1125.98
403,71,50,7,2025-07-09,pending,6537.93
404,148,4,3,2025-07-10,processing,2528.97
405,14,9,2,2025-07-11,completed,1265.98
406,154,50,2,2025-07-12,completed,1645.98
407,37,9,7,2025-07-13,pending,5459.93
408,166,45,7,2025-07-14,cancelled,4850.93
409,26,15,5,2025-07-15,pending,159.95
410,189,36,8,2025-07-16,processing,791.92
411,124,19,3,2025-07-17,pending,2390.97
412,131,33,2,2025-07-18,completed,1151.98
413,42,1,8,2025-07-19,completed,6327.92
414,143,26,5,2025-07-20,cancelled,1739.95
415,122,36,2,2025-07-21,pending,1795.98
416,4,15,7,2025-07-22,pending,2302.93
417,181,7,2,2025-07-23,cancelled,1029.98
418,185,19,3,2025-07-24,completed,2147.97
419,65,34,6,2025-07-25,completed,2165.94
420,48,4,5,2025-07-26,completed,3469.95
421,161,46,5,2025-07-27,processing,1954.95
422,35,6,7,2025-07-28,completed,1014.93
423,88,36,1,2025-07-29,cancelled,441.99
424,35,10,3,2025-07-30,processing,1034.97
425,31,33,7,2025-07-31,pending,6782.93
426,114,11,7,2025-08-01,cancelled,5739.93
427,85,46,1,2025-08-02,pending,990.99
428,177,19,3,2025-08-03,cancelled,2630.97
429,61,23,3,2025-08-04,completed,605.97
430,96,35,5,2025-08-05,processing,4979.95
431,89,8,8,2025-08-06,pending,3191.92
432,169,42,6,2025-08-07,pending,1763.94
433,145,22,4,2025-08-08,processing,3595.96
434,21,14,7,2025-08-09,completed,699.93
435,42,23,5,2025-08-10,completed,454.95
436,105,4,1,2025-08-11,cancelled,374.99
437,34,23,5,2025-08-12,completed,2999.95
438,111,17,8,2025-08-13,processing,2447.92
439,10,40,6,2025-08-14,pending,2543.94
440,165,49,2,2025-08-15,cancelled,707.98
441,145,26,8,2025-08-16,completed,3119.92
442,55,6,5,2025-08-17,completed,1899.95
443,43,46,8,2025-08-18,pending,5743.92
444,169,46,5,2025-08-19,completed,4924.95
445,79,28,6,2025-08-20,processing,4967.94
446,72,9,6,2025-08-21,pending,4877.94
447,113,4,2,2025-08-22,completed,1503.98
448,9,46,6,2025-08-23,completed,2123.94
449,85,45,7,2025-08-24,pending,1161.93
450,155,24,7,2025-08-25,completed,1476.93
451,9,5,5,2025-08-26,completed,519.95
452,4,12,2,2025-08-27,cancelled,1927.98
453,58,9,3,2025-08-28,cancelled,2735.97
454,94,6,3,2025-08-29,processing,1982.97
455,81,5,8,2025-08-30,completed,4631.92
456,176,33,3,2025-08-31,pending,674.97
457,103,13,7,2025-09-01,processing,335.93
458,76,3,8,2025-09-02,pending,6687.92
459,91,31,2,2025-09-03,cancelled,1639.98
460,129,24,8,2025-09-04,processing,7767.92
461,10,13,4,2025-09-05,pending,1831.96
462,177,17,8,2025-09-06,cancelled,3607.92
463,159,3,7,2025-09-07,processing,5809.93
464,120,20,7,2025-09-08,completed,3933.93
465,159,3,6,2025-09-09,pending,899.94
466,86,19,4,2025-09-10,cancelled,2055.96
467,168,23,8,2025-09-11,cancelled,6199.92
468,172,5,5,2025-09-12,completed,4299.95
469,60,19,4,2025-09-13,cancelled,3003.96
470,125,4,1,2025-09-14,pending,387.99
471,193,32,8,2025-09-15,completed,6087.92
472,15,16,7,2025-09-16,processing,5571.93
473,107,24,5,2025-09-17,cancelled,2019.95
474,160,28,6,2025-09-18,cancelled,4505.94
475,3,23,5,2025-09-19,pending,2014.95
476,106,48,1,2025-09-20,completed,941.99
477,133,15,3,2025-09-21,cancelled,281.97
478,161,10,1,2025-09-22,cancelled,799.99
479,111,15,1,2025-09-23,cancelled,601.99
480,68,42,7,2025-09-24,completed,6362.93
481,65,30,7,2025-09-25,cancelled,4969.93
482,45,41,4,2025-09-26,completed,3991.96
483,89,40,1,2025-09-27,cancelled,720.99
484,39,18,4,2025-09-28,pending,3247.96
485,93,35,5,2025-09-29,cancelled,1239.95
486,76,22,2,2025-09-30,cancelled,1543.98
487,187,18,5,2025-10-01,pending,2844.95
488,11,13,7,2025-10-02,completed,1322.93
489,134,13,1,2025-10-03,pending,174.99
490,62,35,3,2025-10-04,cancelled,935.97
491,52,37,5,2025-10-05,completed,2084.95
492,100,7,8,2025-10-06,cancelled,4151.92
493,144,7,7,2025-10-07,cancelled,1931.93
494,141,42,5,2025-10-08,cancelled,3954.95
495,5,8,1,2025-10-09,cancelled,989.99
496,30,27,8,2025-10-10,pending,3535.92
497,25,3,1,2025-10-11,pending,318.99
498,135,37,8,2025-10-12,processing,4071.92
499,174,12,6,2025-10-13,pending,2837.94
500,85,45,7,2025-10-14,processing,2232.93
