id,customer_id,subject,description,priority,status,created_at
22,165,Login assistance #022,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-23T09:00:00
23,43,Performance review #023,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-24T09:00:00
24,199,Product setup #024,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-25T09:00:00
25,131,Billing question #025,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-26T09:00:00
26,49,Performance review #026,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-27T09:00:00
27,32,Login assistance #027,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-28T09:00:00
28,179,Performance review #028,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-01T09:00:00
29,145,Login assistance #029,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-02T09:00:00
30,100,Performance review #030,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-03T09:00:00
31,163,Product setup #031,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-04T09:00:00
32,12,Login assistance #032,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,in_progress,2026-01-05T09:00:00
33,114,Billing question #033,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-06T09:00:00
34,74,Login assistance #034,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-07T09:00:00
35,8,Performance review #035,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-08T09:00:00
36,172,Login assistance #036,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-09T09:00:00
37,79,Performance review #037,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,resolved,2026-01-10T09:00:00
38,77,Billing question #038,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-11T09:00:00
39,177,Product setup #039,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,resolved,2026-01-12T09:00:00
40,149,Performance review #040,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-13T09:00:00
41,148,Login assistance #041,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-14T09:00:00
42,148,Performance review #042,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-15T09:00:00
43,104,Performance review #043,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-16T09:00:00
44,200,Product setup #044,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-17T09:00:00
45,166,Product setup #045,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-18T09:00:00
46,103,Product setup #046,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-19T09:00:00
47,93,Product setup #047,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-20T09:00:00
48,72,Performance review #048,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,closed,2026-01-21T09:00:00
49,132,Performance review #049,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,closed,2026-01-22T09:00:00
50,112,Performance review #050,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,resolved,2026-01-23T09:00:00
51,146,Product setup #051,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-24T09:00:00
52,76,Performance review #052,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-25T09:00:00
53,168,Performance review #053,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-26T09:00:00
54,111,Performance review #054,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-27T09:00:00
55,62,Performance review #055,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-28T09:00:00
56,119,Product setup #056,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-01T09:00:00
57,166,Performance review #057,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-02T09:00:00
58,36,Performance review #058,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,closed,2026-01-03T09:00:00
59,166,Product setup #059,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-04T09:00:00
60,26,Product setup #060,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-05T09:00:00
61,73,Product setup #061,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-06T09:00:00
62,35,Login assistance #062,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-07T09:00:00
63,144,Billing question #063,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-08T09:00:00
64,197,Product setup #064,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,closed,2026-01-09T09:00:00
65,80,Login assistance #065,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-10T09:00:00
66,162,Login assistance #066,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-11T09:00:00
67,102,Login assistance #067,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-12T09:00:00
68,47,Billing question #068,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,in_progress,2026-01-13T09:00:00
69,41,Login assistance #069,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-14T09:00:00
70,102,Billing question #070,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-15T09:00:00
71,86,Login assistance #071,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-16T09:00:00
72,66,Product setup #072,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,open,2026-01-17T09:00:00
73,34,Performance review #073,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-18T09:00:00
74,102,Billing question #074,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,closed,2026-01-19T09:00:00
75,20,Billing question #075,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-20T09:00:00
76,56,Billing question #076,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,closed,2026-01-21T09:00:00
77,164,Performance review #077,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-22T09:00:00
78,146,Performance review #078,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-23T09:00:00
79,126,Product setup #079,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,in_progress,2026-01-24T09:00:00
80,168,Product setup #080,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-25T09:00:00
81,189,Performance review #081,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,resolved,2026-01-26T09:00:00
82,186,Performance review #082,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,resolved,2026-01-27T09:00:00
83,89,Login assistance #083,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-28T09:00:00
84,154,Performance review #084,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-01T09:00:00
85,88,Billing question #085,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-02T09:00:00
86,176,Product setup #086,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-03T09:00:00
87,197,Billing question #087,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-04T09:00:00
88,117,Product setup #088,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-05T09:00:00
89,65,Performance review #089,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,closed,2026-01-06T09:00:00
90,80,Login assistance #090,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,open,2026-01-07T09:00:00
91,168,Login assistance #091,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-08T09:00:00
92,135,Product setup #092,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-09T09:00:00
93,63,Performance review #093,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-10T09:00:00
94,7,Performance review #094,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,resolved,2026-01-11T09:00:00
95,96,Billing question #095,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-12T09:00:00
96,85,Product setup #096,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,resolved,2026-01-13T09:00:00
97,36,Login assistance #097,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-14T09:00:00
98,113,Performance review #098,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,closed,2026-01-15T09:00:00
99,66,Performance review #099,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-16T09:00:00
100,193,Login assistance #100,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-17T09:00:00
